feature_0,feature_1,feature_2,feature_3,feature_4,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,labels
-2.159994149,-0.446434034,1.104681193,-0.49767245,-0.246560348,8,2,3,0,0,0,0,1,3,1
-2.159994149,-0.445777161,0.984523317,-0.447191907,-0.246560348,8,2,1,0,0,0,0,1,3,0
-2.159994149,-0.435924078,0.624049688,-0.598633535,-0.246560348,8,2,3,0,0,0,1,1,3,0
-2.159994149,-0.333123574,-1.298476332,0.717743698,0.399020232,8,2,3,0,0,0,0,8,3,1
-2.159994149,-0.303564324,-1.779107836,0.647847562,-0.569350638,8,2,3,0,0,0,0,11,3,0
-2.159994149,-0.247730184,-0.457371198,0.03431481,-0.569350638,8,2,0,0,0,0,0,1,3,1
-2.159994149,0.191060465,-0.69768695,-0.528737399,0.076229942,8,2,0,0,0,0,1,1,3,0
-2.159994149,-0.247730184,-0.337213322,-0.187022955,-0.569350638,8,2,0,0,0,0,0,9,2,1
-2.159994149,-0.411948242,-0.817844827,-0.64523096,-0.569350638,8,2,3,0,0,0,0,3,2,1
-2.159994149,-0.396183308,-1.418634208,0.154691489,-0.246560348,8,2,1,0,0,0,0,9,1,0
-2.065820171,-0.447419342,-0.577529074,-0.52485428,0.076229942,8,2,3,0,0,0,0,3,3,0
-2.065820171,-0.447419342,-1.418634208,-0.722893333,0.399020232,8,2,0,0,0,0,0,8,3,0
-2.065820171,-0.438551567,-1.298476332,-0.668529672,-0.246560348,8,2,3,0,0,0,1,7,3,0
-2.065820171,-0.427713175,-0.217055446,-0.020048852,-0.569350638,8,2,3,0,0,0,0,1,3,0
-2.065820171,-0.413590422,-0.69768695,-0.598633535,-0.246560348,8,2,0,0,0,0,0,5,3,1
-2.065820171,-0.403408903,1.344996945,0.049847285,-0.246560348,8,2,0,0,0,0,0,7,3,1
-2.065820171,-0.351844433,-1.298476332,0.127509658,0.721810522,8,2,1,0,0,0,1,8,3,0
-2.065820171,-0.33936386,0.744207564,-0.02393197,-0.246560348,8,2,1,0,0,0,0,10,3,1
-2.065820171,-0.325241107,-0.938002703,0.721626817,0.076229942,8,2,1,0,0,0,1,5,3,1
-2.065820171,-0.318015513,-1.298476332,0.267301931,0.076229942,8,2,1,0,0,0,0,0,3,1
-2.065820171,-0.297324037,-1.418634208,-0.70347774,1.044600813,8,2,3,0,0,0,0,8,3,0
-2.065820171,-0.274333509,-1.418634208,-0.404477601,0.076229942,8,2,1,0,0,0,0,11,3,0
-2.065820171,-0.241818334,-0.096897569,-0.548152993,-0.569350638,8,2,1,0,0,0,1,0,3,0
-2.065820171,-0.191567609,-1.779107836,-0.287984041,0.399020232,8,2,3,0,0,0,0,0,3,1
-2.065820171,-0.063477524,-1.178318455,0.795406072,-0.246560348,8,2,3,0,0,0,0,3,3,0
-2.065820171,0.144750973,-0.69768695,-0.773373876,-0.569350638,8,2,1,0,0,0,0,7,3,0
-2.065820171,0.144750973,0.86436544,-0.520971162,-0.569350638,8,2,1,0,0,0,0,6,0,0
-2.065820171,-0.366952494,-0.69768695,-0.621932248,-0.246560348,8,2,0,0,0,0,1,9,1,0
-2.065820171,-0.411948242,-0.69768695,-0.35011394,-0.569350638,8,2,3,0,0,0,0,1,2,1
-2.065820171,-0.33936386,1.705470574,-0.346230821,-0.569350638,8,2,1,0,0,0,0,0,2,1
-2.065820171,-0.308162429,1.705470574,-0.532620518,0.076229942,8,2,1,0,0,0,0,6,1,0
-2.065820171,-0.413590422,0.263576059,-0.315165872,-0.246560348,8,2,0,0,0,0,0,4,0,0
-1.971646193,-0.553175771,0.503891812,-0.719010215,0.399020232,8,2,1,0,1,0,2,6,3,0
-1.971646193,-0.503910354,0.383733936,-0.078295632,0.076229942,1,1,0,0,1,1,2,8,3,0
-1.971646193,-0.437894695,-0.217055446,-0.67241279,-0.246560348,8,2,1,0,0,0,0,11,3,0
-1.971646193,-0.430012228,-0.577529074,-0.214204786,-0.569350638,8,2,1,0,0,0,0,1,3,0
-1.971646193,-0.422458197,0.263576059,1.47883496,-0.246560348,1,2,1,0,1,0,0,8,3,1
-1.971646193,-0.421472889,-0.217055446,-0.35011394,0.076229942,8,2,2,0,1,0,2,8,3,0
-1.971646193,-0.404722647,-1.418634208,-0.711243977,0.076229942,8,2,1,0,0,0,1,8,3,0
-1.971646193,-0.394212691,1.104681193,-0.590867298,-0.246560348,8,2,1,0,0,0,0,8,3,0
-1.971646193,-0.378447758,-0.217055446,-0.610282892,-0.569350638,8,2,1,0,0,0,0,1,3,0
-1.971646193,-0.351515996,-1.418634208,-0.827737538,-0.569350638,8,1,3,0,0,0,0,8,3,0
-1.971646193,-0.339035424,0.503891812,-0.385062008,-0.246560348,8,2,3,0,0,0,0,0,3,0
-1.971646193,-0.337064807,-1.298476332,-0.486023094,-0.569350638,0,2,1,0,0,1,0,6,3,0
-1.971646193,-0.308490865,0.023260307,0.931315226,-0.569350638,1,2,1,0,1,0,0,0,3,1
-1.971646193,-0.297324037,0.023260307,-0.17149048,-0.569350638,8,2,3,0,0,0,0,6,3,0
-1.971646193,-0.297324037,0.023260307,-0.788906351,-0.246560348,8,2,3,0,1,0,1,0,3,0
-1.971646193,-0.297324037,-1.058160579,-0.621932248,-0.246560348,8,2,3,0,0,0,0,0,3,0
-1.971646193,-0.297324037,-0.457371198,-0.311282753,-0.246560348,8,2,0,0,0,0,0,1,3,1
-1.971646193,-0.290098443,-0.577529074,-0.388945127,-0.246560348,8,2,3,0,0,0,0,11,3,0
-1.971646193,-0.282544412,1.705470574,0.011016098,-0.569350638,8,2,1,0,0,0,0,0,3,1
-1.971646193,-0.199450075,1.585312698,0.100327828,-0.569350638,8,2,3,0,0,0,0,2,3,1
-1.971646193,-0.184342014,-0.577529074,-0.05499692,-0.246560348,8,2,3,0,0,0,0,9,3,1
-1.971646193,-0.176459547,1.465154821,-0.897633674,-0.569350638,8,2,0,0,0,0,2,1,3,0
-1.971646193,-0.175145803,-0.817844827,-0.020048852,-0.246560348,8,2,3,0,0,0,0,5,3,1
-1.971646193,-0.056251929,-0.457371198,0.061496641,-0.569350638,8,2,1,0,0,0,0,3,3,0
-1.971646193,0.104681767,0.023260307,-0.49767245,-0.569350638,8,2,1,0,0,0,1,0,3,0
-1.971646193,0.460378079,1.585312698,-0.462724382,-0.246560348,8,2,2,0,1,0,2,8,3,0
-1.971646193,-0.351515996,-1.298476332,0.492522815,-0.246560348,8,1,3,0,0,0,0,1,0,1
-1.971646193,-0.056251929,1.465154821,0.939081463,-0.246560348,8,2,1,0,0,0,0,11,0,0
-1.971646193,-0.388629277,1.104681193,-0.241386617,0.076229942,8,2,3,0,0,0,0,7,0,0
-1.971646193,-0.447419342,-1.65894996,-0.734542689,0.399020232,8,2,0,0,0,0,0,9,0,0
-1.971646193,-0.351844433,-0.577529074,-0.334581465,0.721810522,8,2,1,0,0,0,1,8,0,0
-1.971646193,-0.376805577,0.984523317,-0.322932109,-0.569350638,8,2,1,0,0,0,0,3,2,1
-1.971646193,-0.388629277,0.86436544,0.228470744,-0.569350638,8,2,3,0,0,0,0,11,0,0
-1.971646193,-0.447419342,-1.779107836,-0.447191907,0.721810522,8,2,0,0,0,0,0,3,0,0
-1.877472216,-0.587333127,-1.418634208,-0.462724382,-0.246560348,1,1,0,1,0,0,2,6,3,0
-1.877472216,-0.537082401,-0.337213322,0.317782474,-0.569350638,1,2,1,0,1,1,2,8,3,0
-1.877472216,-0.466797073,-1.418634208,-0.680179028,-0.569350638,1,2,1,1,1,1,2,6,3,0
-1.877472216,-0.461213659,-0.69768695,-0.983062285,-0.569350638,1,2,0,0,0,0,2,10,3,0
-1.877472216,-0.456615553,1.344996945,-0.517088043,-0.569350638,0,2,3,0,1,0,2,8,3,0
-1.877472216,-0.445448725,-0.817844827,1.412821943,-0.569350638,8,2,1,0,0,0,2,8,3,0
-1.877472216,-0.434610333,-1.178318455,-0.198672311,-0.246560348,8,2,1,0,0,0,0,5,3,0
-1.877472216,-0.430012228,-0.217055446,0.045964166,-0.569350638,8,2,3,0,0,0,0,6,3,1
-1.877472216,-0.428698483,-1.418634208,-0.96752981,-0.569350638,8,2,1,0,0,0,2,10,3,0
-1.877472216,-0.427384739,-0.938002703,-0.454958144,-0.569350638,9,2,2,0,0,1,0,5,3,0
-1.877472216,-0.426399431,-1.058160579,-0.94034798,-0.569350638,9,2,1,0,1,0,0,8,3,0
-1.877472216,-0.424100378,-0.337213322,-0.346230821,-0.246560348,8,2,1,0,0,0,0,4,3,1
-1.877472216,-0.414904167,-0.337213322,-0.812205063,-0.569350638,8,2,1,0,1,0,2,8,3,0
-1.877472216,-0.406036391,-0.096897569,-0.800555707,-0.569350638,8,2,1,0,1,0,1,8,3,0
-1.877472216,-0.393555819,1.224839069,0.007132979,-0.569350638,1,2,1,0,0,0,0,8,3,0
-1.877472216,-0.393555819,0.383733936,-0.699594621,0.721810522,8,2,1,0,0,0,0,3,3,0
-1.877472216,-0.381732119,-1.779107836,-0.971412929,-0.569350638,8,2,3,0,0,0,2,6,3,0
-1.877472216,-0.378447758,0.383733936,-0.796672588,-0.569350638,8,2,3,0,1,0,2,8,3,0
-1.877472216,-0.376477141,-1.298476332,0.605133257,-0.569350638,8,2,1,0,0,0,0,1,3,1
-1.877472216,-0.374178088,1.344996945,-0.400594483,-0.569350638,1,1,1,0,1,0,2,8,3,0
-1.877472216,-0.373849652,1.705470574,-0.303516515,-0.569350638,8,2,1,0,0,0,0,0,3,1
-1.877472216,-0.371222163,0.624049688,-0.575334823,-0.246560348,8,2,1,0,1,0,2,8,3,0
-1.877472216,-0.367937802,1.224839069,-0.493789331,0.399020232,0,2,2,0,0,1,0,7,3,0
-1.877472216,-0.367609366,0.143418183,-0.299633397,-0.246560348,4,2,2,0,0,1,0,6,3,0
-1.877472216,-0.35545723,-0.577529074,0.084795353,-0.246560348,10,2,1,0,0,0,0,1,3,0
-1.877472216,-0.355128794,0.984523317,-0.959763573,-0.569350638,8,2,0,0,0,0,2,1,3,0
-1.877472216,-0.351515996,-0.337213322,-0.427776313,0.399020232,1,2,1,0,1,1,1,8,3,0
-1.877472216,-0.340677605,0.023260307,0.810938547,-0.569350638,0,2,1,0,1,0,2,8,3,0
-1.877472216,-0.316701768,-0.577529074,0.143042133,0.076229942,8,2,1,0,1,0,0,8,3,0
-1.877472216,-0.308490865,-0.938002703,-0.598633535,0.721810522,8,2,0,0,0,0,0,0,3,1
-1.877472216,-0.297324037,0.503891812,-0.746192045,0.076229942,8,2,0,0,0,0,0,0,3,0
-1.877472216,-0.28615721,-1.178318455,-0.37729577,-0.569350638,8,2,1,0,0,0,0,1,3,0
-1.877472216,-0.268093223,0.143418183,-0.637464722,-0.569350638,8,2,1,0,0,0,2,0,3,0
-1.877472216,-0.264480426,1.82562845,-0.237503498,-0.246560348,8,2,1,0,0,0,0,1,3,0
-1.877472216,-0.245759567,-0.337213322,-0.058880038,0.076229942,1,2,1,0,1,0,2,8,3,0
-1.877472216,-0.223754348,0.503891812,-0.979179166,-0.569350638,8,2,1,0,0,0,2,1,3,0
-1.877472216,-0.223425912,-1.178318455,0.030431691,-0.569350638,1,2,1,0,0,0,0,7,3,1
-1.877472216,-0.197151022,0.984523317,0.115860302,-0.569350638,8,2,3,0,0,0,0,6,3,0
-1.877472216,-0.186641067,-1.298476332,-0.26080221,-0.569350638,8,2,1,0,0,0,0,6,3,1
-1.877472216,-0.178101728,1.344996945,0.170223964,-0.246560348,1,2,1,0,1,0,2,6,3,0
-1.877472216,-0.136061905,-1.65894996,-0.70347774,-0.246560348,8,2,1,0,0,0,1,3,3,0
-1.877472216,-0.03424671,-1.058160579,0.56630207,-0.569350638,8,2,2,0,0,0,0,5,3,0
-1.877472216,-0.009614001,-1.65894996,-0.536503637,-0.569350638,10,2,1,0,0,0,0,3,3,0
-1.877472216,0.007464677,0.503891812,-0.955880454,0.721810522,1,2,1,0,1,0,0,0,3,0
-1.877472216,0.047205447,-0.217055446,0.317782474,-0.569350638,8,2,3,0,0,0,0,11,3,1
-1.877472216,0.076764697,1.104681193,-0.610282892,-0.246560348,8,2,0,0,0,0,0,8,3,0
-1.877472216,0.177594585,1.585312698,-0.586984179,-0.246560348,7,2,1,0,1,0,2,8,3,0
-1.877472216,0.234742469,-1.298476332,0.251769456,-0.569350638,2,2,2,0,0,0,0,1,3,1
-1.877472216,0.296488458,0.143418183,-0.64523096,-0.246560348,1,2,1,0,0,0,0,3,3,1
-1.877472216,0.548727394,-1.178318455,0.344964305,-0.569350638,7,2,1,0,1,0,0,8,3,0
-1.877472216,-0.4070217,-0.577529074,0.989562006,-0.569350638,8,2,1,0,0,0,1,9,2,1
-1.877472216,0.369729712,-0.457371198,-0.303516515,-0.246560348,8,2,1,0,0,0,1,4,2,1
-1.877472216,-0.328853904,-1.298476332,0.275068168,-0.569350638,7,2,1,0,0,0,1,6,1,0
-1.877472216,-0.378447758,-1.418634208,-0.52485428,-0.246560348,8,2,1,0,0,0,1,3,0,0
-1.877472216,-0.4070217,-0.457371198,0.469224103,0.721810522,8,2,1,0,0,0,1,3,2,1
-1.877472216,0.296488458,1.344996945,-0.396711364,0.399020232,1,2,1,0,0,0,0,8,2,0
-1.877472216,-0.220469987,-0.337213322,-0.152074887,-0.569350638,4,2,1,0,0,0,0,1,1,0
-1.877472216,-0.425742558,-0.096897569,-0.882101199,-0.569350638,0,2,1,0,1,0,0,8,0,0
-1.877472216,0.460378079,0.263576059,-0.699594621,-0.246560348,8,2,2,0,1,0,0,8,0,0
-1.877472216,-0.503910354,-0.096897569,0.585717663,-0.569350638,1,1,0,0,1,1,0,8,0,1
-1.877472216,-0.404722647,-0.577529074,-0.563685467,-0.246560348,8,2,1,0,0,0,0,8,0,0
-1.877472216,-0.376805577,0.984523317,0.480873459,-0.569350638,8,2,1,0,0,0,0,8,2,1
-1.877472216,-0.297324037,-0.217055446,-0.513204924,0.076229942,8,2,1,0,0,0,0,1,1,0
-1.783298238,-0.544307996,1.224839069,-0.420010076,-0.246560348,1,1,1,0,1,0,2,6,3,0
-1.783298238,-0.502596609,-0.337213322,-0.381178889,0.076229942,1,2,0,0,1,0,2,8,3,0
-1.783298238,-0.464169584,-0.096897569,-0.303516515,-0.569350638,1,2,1,0,1,0,0,8,3,1
-1.783298238,-0.447419342,0.383733936,-0.52485428,-0.569350638,1,2,1,0,1,0,2,8,3,0
-1.783298238,-0.447419342,1.344996945,0.527470883,-0.569350638,9,2,1,0,1,0,2,8,3,0
-1.783298238,-0.447419342,-1.298476332,-0.307399634,-0.246560348,1,2,1,0,1,0,2,8,3,0
-1.783298238,-0.447419342,0.86436544,-0.303516515,-0.246560348,1,2,1,0,1,0,2,8,3,0
-1.783298238,-0.447419342,-1.178318455,-0.1132437,1.044600813,8,2,1,0,0,0,0,3,3,1
-1.783298238,-0.447090906,-0.096897569,0.018782335,0.399020232,8,2,3,0,0,0,1,6,3,0
-1.783298238,-0.446434034,-1.178318455,-0.396711364,-0.569350638,7,2,1,0,1,0,0,8,3,0
-1.783298238,-0.442821236,0.503891812,-0.785023232,-0.569350638,7,1,1,0,1,1,2,8,3,0
-1.783298238,-0.439865311,1.344996945,-0.470490619,-0.569350638,8,2,1,0,0,0,0,10,3,1
-1.783298238,-0.438223131,1.344996945,-0.532620518,-0.246560348,9,2,1,0,1,0,2,8,3,0
-1.783298238,-0.43658095,-0.457371198,0.430392916,-0.569350638,0,2,1,0,0,0,0,3,3,1
-1.783298238,-0.435924078,1.465154821,-0.590867298,0.076229942,7,2,0,0,1,0,2,8,3,0
-1.783298238,-0.435595642,0.383733936,-0.536503637,0.076229942,1,1,1,0,1,0,2,8,3,0
-1.783298238,-0.431982845,-1.538792084,-0.734542689,0.076229942,8,2,3,0,0,0,0,5,3,0
-1.783298238,-0.427384739,0.86436544,-0.548152993,-0.569350638,0,2,1,0,0,0,0,0,3,0
-1.783298238,-0.426399431,-1.418634208,-0.567568586,-0.569350638,8,2,1,0,0,0,0,6,3,0
